SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,latitude,longitude,IS SHORT SALE
Past Sale,Condo/Coop,454 Costa Mesa Ter Unit C,SUNNYVALE,CA,94085,695000,2,2,SUNNYVALE,1012,1034,1985,2,Garage,,Sold,,,,,695000,42135,675000,http://www.redfin.com/CA/Sunnyvale/454-Costa-Mesa-Ter-94085/unit-C/home/629098,MLSListings Inc. (MLSLI),ML81462491,Intero Real Estate Services,N,Y,37.392968,-122.044952,0
Past Sale,Condo/Coop,454 Costa Mesa Ter Apt A,Sunnyvale,CA,94085,,2,1,94085,880,,1985,,,,,,,,,,42093,608000,http://www.redfin.com/CA/Sunnyvale/454-Costa-Mesa-Ter-94085/unit-A/home/1622331,,,,N,Y,37.392968,-122.044952,
Past Sale,Condo/Coop,454 Costa Mesa Ter Apt B,Sunnyvale,CA,94085,,2,1,94085,880,,1985,,,,,,,,,,42080,612500,http://www.redfin.com/CA/Sunnyvale/454-Costa-Mesa-Ter-94085/unit-B/home/1710732,,,,N,Y,37.392968,-122.044952,
Past Sale,Condo/Coop,757 N Fair Oaks Ave Apt 3,Sunnyvale,CA,94085,,2,1,94085,926,,1972,,,,,,,,,,42167,575000,http://www.redfin.com/CA/Sunnyvale/757-N-Fair-Oaks-Ave-94085/unit-3/home/980245,,,,N,Y,37.3929796,-122.0146969,
Past Sale,Single Family Residential,1291 Torrance Ave,SUNNYVALE,CA,94089,848000,3,2,SUNNYVALE,1477,6055,1955,2,Garage,,Sold,,,,,848000,42382,1052000,http://www.redfin.com/CA/Sunnyvale/1291-Torrance-Ave-94089/home/1626393,MLSListings Inc. (MLSLI),ML81534797,Sereno Group,N,Y,37.39303,-121.989599,0
Past Sale,Single Family Residential,461 Palo Alto Ave,Mountain View,CA,94041,,4,3,94041,2314,,2011,,,,,,,,,,42151,2800000,http://www.redfin.com/CA/Mountain-View/461-Palo-Alto-Ave-94041/home/879472,,,,N,Y,37.39305,-122.087342,
Past Sale,Condo/Coop,603 Arcadia Ter #201,SUNNYVALE,CA,94085,699000,3,2,SUNNYVALE,1300,1161,1994,1,Garage,,Sold,,,,,699000,42331,710000,http://www.redfin.com/CA/Sunnyvale/603-Arcadia-Ter-94085/unit-201/home/622141,MLSListings Inc. (MLSLI),ML81513425,Keller Williams Realty-Silicon Valley,N,Y,37.393054,-122.013213,0
Past Sale,Townhouse,172 Ada Ave #3,MOUNTAIN VIEW,CA,94043,1175000,3,2.5,MOUNTAIN VIEW,1530,1056,1989,2,Garage,,Sold,,,,,1175000,42313,1250000,http://www.redfin.com/CA/Mountain-View/172-Ada-Ave-94043/unit-3/home/1104278,MLSListings Inc. (MLSLI),ML81515846,Intero Real Estate Services,N,Y,37.393058,-122.066253,0
Past Sale,Condo/Coop,2080 Marich Way Apt 13,Mountain View,CA,94040,,3,2.5,94040,1667,,1982,,,,,,,,,,42073,1401000,http://www.redfin.com/CA/Mountain-View/2080-Marich-Way-94040/unit-13/home/1073542,,,,N,Y,37.393097,-122.102233,
Past Sale,Townhouse,2080 Marich Way #10,MOUNTAIN VIEW,CA,94040,1275000,3,3,MOUNTAIN VIEW,1679,919,1982,2,Garage,,Sold,,,,,1275000,42299,1425000,http://www.redfin.com/CA/Mountain-View/2080-Marich-Way-94040/unit-10/home/723091,MLSListings Inc. (MLSLI),ML81519913,Coldwell Banker,N,Y,37.393097,-122.102233,0
